date,/g/11bytn80mf,/m/01j6t0,/m/0ddwt,/m/029ggh,/m/0j5fv,/m/02656gy,/m/06gx48m,/m/0dl9s3k,/m/013677,/m/02bft,/m/0cnmb,/m/0k_9,/m/0m7pl,/m/01cdt5,/m/033mg5,/g/11qm6vy88k,/m/03l19k,/m/079p0q,/m/02np4v,/m/05sfr2,/m/03x69g,/m/04c_jpd
2020-02-28,62.103405105268,87.77211287369147,68.49124073321802,96.36321735277548,92.08223899805172,74.35498741865756,78.3277033960041,70.72059757303472,81.27403239561757,81.9676396194306,54.80302067750487,89.50568660273483,83.14041154863669,116.106247261987,87.15287060200191,71.74874035967784,42.215706356840755,83.58441983117906,96.77619318029728,51.85820907005726,88.59245408000008,87.95874767236177
2020-02-29,69.95159813618261,85.19468198001242,67.65326624909918,95.29829455805728,92.36566149317716,77.47428185747552,97.51678170389054,79.15337008427188,80.50478392897703,80.5472828222963,52.29671751643266,76.99683084817714,71.33254675892778,117.36202761276834,86.05670955589663,61.630328257672,33.97032337565224,70.05369914080806,95.41767456800014,57.563015500390925,61.57873061974942,88.5819068041366
2020-03-01,77.1486120618712,94.26580862880081,77.02587326273907,95.34189569073067,92.14207518236587,70.31902923800519,94.22795384864727,83.1043231442826,96.45882997314779,91.54356897953075,69.8395338653033,86.15027453229867,92.40685932355309,113.04821376382289,96.04120221508512,0.0,35.62240391846167,81.26129640990986,101.13205197704853,57.21085209436346,71.65736729909591,75.76767514438609
2020-03-02,66.16850467410025,94.27432710474248,76.79658076728757,95.24404316768866,97.07853197892754,87.40880145416577,104.89294562413716,81.97668179639079,94.52343864523067,79.58903198355982,75.94812648254953,96.24451603339983,81.31469074788369,130.01658712931646,89.73093645839126,62.74649598030612,24.143140388744072,84.72890682964479,107.22111359233652,58.89472573859622,95.9093825805996,95.83873782043008
2020-03-03,68.69201788800014,104.09924688587206,82.69807626012194,94.2846453249035,97.26935569118989,86.93932957554362,109.65767977797748,83.20789884465431,94.03828353330829,91.10734894772958,78.68667382989132,94.04414433116214,106.80848004072087,128.23840120757527,96.21827140342754,90.58174775030426,34.02917547822259,87.77446582361334,98.97048552393281,60.15072841285122,100.10864191435918,99.17164108234832
2020-03-04,81.1945496116823,93.56598034850416,75.2390570625815,94.17370497594104,92.15258496344947,91.32774884067646,101.72939519975714,80.07289931354589,96.01652058896636,90.82099644088173,73.31116513728313,99.2991235526578,98.5695804173888,120.53684912623889,85.33328096313066,113.44844622176502,33.504779310170136,82.87965275347862,100.71283827131721,54.99294511790166,94.8278857466664,100.29038057231918
2020-03-05,60.440630820936406,96.58457380007086,79.38854250641387,92.08244979209174,91.22193074849966,86.7874662597514,105.1218343277567,72.91174641852031,98.94838255074482,90.7837396538503,68.22268487955881,98.23659466149826,85.72890609593071,124.40080063852123,91.01020437323056,130.47965830904454,27.659704165592924,84.86520502912963,105.37801507628976,49.08735679327883,99.03394271687947,116.26495555890928
2020-03-06,80.02252938559359,92.01914544716026,66.11728727872783,93.45151940861771,90.2488572605709,82.4236422741501,106.41875732806166,74.71710980540593,90.71232677805881,81.47277540157138,67.32670290050292,93.06132041617738,88.98330761476034,120.25873246959475,94.12018439529726,178.78886141940188,32.416412090801785,79.50964990112229,100.02287154438953,48.55486632353154,85.07283656294115,97.70933486566281
2020-03-07,67.40112945830509,89.79805671356381,65.33180439230769,87.44812546003688,95.14989896920052,86.74683374602826,113.1456450144606,80.84040753348953,88.68770960410981,79.396042499947,62.272927160662725,74.8039800479201,101.73857999711373,169.4178308680985,90.20564433699245,129.6039054938599,34.92316530603683,85.75688809476517,105.41607729950962,72.2441902851668,60.04294354244076,84.93220106743544
2020-03-08,72.29715281496055,94.94337656386575,66.14431455745772,94.41298367640795,99.7008777040986,72.87812271884894,98.30627530854653,78.93877849418726,86.04671947627291,83.55339298164941,51.31360910089647,82.63153946626346,111.82140180072729,144.09385055811515,91.62943820340308,80.31791326380049,20.243231917977408,81.74665672375083,102.32094073475979,119.97504411147091,66.04133289793087,83.75240094271939
2020-03-09,63.27303773523186,95.02628013448293,76.81046271526799,92.36440958575889,104.93197694099447,86.97195524631402,119.90782667608242,82.31117829955356,100.65442471430697,89.32670083441722,83.30362342976345,92.10866315796544,130.08523586032695,166.1726208315418,95.21569766686268,114.92675530939003,30.80882201467561,86.11168158786603,102.50314208845698,59.18039632043621,89.03727823956878,100.05713979836064
2020-03-10,89.5683484280832,104.59516563344289,72.77546113196556,89.9239271379802,98.92164249683019,84.5878422765325,140.0533358354622,80.04724013304396,94.58845505685908,83.13529465692055,71.44125015315912,97.51606575333386,99.56791873780723,161.1273677696527,98.11883742477238,247.39821767830216,27.87657036907883,81.8674196704285,111.58526075046974,58.58881800760693,84.01138039282944,110.54426692178498
2020-03-11,98.8980126385841,95.2029453135966,74.35711461889788,85.3095120804646,101.73034363763101,79.91952534676494,163.40904931053677,78.59489191496007,99.12805884954271,77.17044199663408,65.61229863168214,89.71519069091835,123.36433073274362,169.93851997227412,82.11758090268529,177.6812269393676,62.056784397755294,73.93689559434341,112.20833255984022,66.29367267950995,87.00998813067368,128.69710754016415
2020-03-12,118.76362063126476,100.84363119037369,67.00989709641345,91.29425196731012,100.38350799597282,80.83432633563721,199.20324442805043,65.03302086058484,102.24184502827617,71.95598565892072,60.72984483414708,88.39722945031971,115.58235555009178,203.91666438458284,81.6808237365515,415.6359483995527,54.91569864137301,81.70846794748381,129.53651389522,71.38297983260404,86.01101842315407,177.33467155804513
