date,Aching Muscle Pain,Fatigue,Insomnia,Palpitations,Headache,Clouding of consciousness,Chest Tightness,Hip pain,Myalgia,Major depressive disorder,Sleep disorder,Anxiety,Anosmia,Shortness of breath,Dizziness,Long Covid,Lightheadedness,Chest pain,Ageusia,Mental health,Hypochondriasis
28/3/2020,86.28645357,97.81644448,86.88018295,101.9213004,125.1113851,79.23015683,347.789211,75.86701081,100.361674,67.93034735,56.44191969,98.01243141,1213.443387,273.2957529,100.9556288,893.8178185,92.82927687,181.2970704,792.3099589,59.89074622,141.0834265
29/3/2020,85.53765689,97.48599635,89.45724807,105.0860093,128.9411068,71.8181934,311.4213853,75.89687553,101.6021651,71.40331697,61.27314607,107.6795303,1145.982134,273.3110757,100.0181965,869.6078705,98.6555302,185.2741396,857.5448929,73.92006372,113.950817
30/3/2020,60.02935902,99.58531479,92.40407394,94.58752362,113.9025103,72.03641654,280.1636175,70.77332589,100.3700546,66.67136971,57.28389855,100.6024862,962.0979818,249.6907828,93.16160038,744.4645995,81.86860157,169.1369698,636.0509678,76.92693912,125.5125921
31/3/2020,57.48350574,85.12787128,87.77562071,93.62120217,112.6388778,54.86973776,293.7568477,72.55478773,91.6839607,69.66321695,61.24257489,100.4195622,935.2858831,234.6145716,88.87257473,700.6202164,81.87079375,163.0688685,606.5670684,82.9212315,110.0937715
1/4/2020,68.26630763,94.80665129,94.05292042,94.52280571,115.3523405,62.68968846,294.0866884,67.55645966,89.57140403,67.92644359,63.90896301,90.02083781,957.0000057,213.7938378,93.96828,626.638872,96.48838785,153.7596183,701.117144,77.17821777,98.48114321
2/4/2020,78.61287384,91.72470465,94.99450839,102.8460669,114.0815954,61.38592447,272.295812,69.2498252,94.53966601,71.14045611,60.74275027,101.4763585,903.8244967,228.5194606,85.36540804,663.4744501,79.91843143,149.9375981,600.1277941,81.14097709,106.2097541
3/4/2020,73.66888265,87.60453582,91.17229361,91.77260888,113.9331487,53.56516189,275.9419485,68.95822061,98.29149376,66.52597151,57.65999665,92.3207152,752.6769577,195.8876394,89.75385994,742.5644736,78.94136585,131.1765726,466.4207801,80.56453745,98.47327249
4/4/2020,82.25518966,87.36030677,93.24022731,104.0915225,126.0767869,68.15578795,279.1299664,80.21607546,102.8567857,67.3219507,55.31309907,94.83987947,743.6599928,199.5527354,100.1368526,790.5093103,88.72454606,159.6090474,495.2036331,65.3458998,96.56917253
5/4/2020,78.10083866,89.48928492,98.29404519,106.3967826,125.7820554,60.72967529,278.3318355,76.85237047,99.51191051,75.82641534,70.11727289,96.94808704,752.0409749,242.6751823,88.35510287,679.8146941,95.56923416,159.2653208,498.1667281,63.5530299,104.2968396
6/4/2020,45.25841845,85.41830747,102.9432519,104.0950067,120.5412179,57.70768074,265.6457701,67.21823158,91.66917925,68.46530279,64.61656159,99.73867565,1065.877517,194.8027972,83.61190839,708.4294542,92.67639678,149.6427256,506.3392454,82.35915366,102.3345493
7/4/2020,62.15912716,88.612855,97.94508311,95.98171919,111.3172941,65.94046686,247.852245,72.92948673,94.13620806,70.36424198,67.85499463,98.62950728,808.8012304,194.8715066,85.60533578,788.5060766,86.74127828,143.6193986,424.3374781,77.90121888,92.69177187
8/4/2020,46.54238407,90.75572954,104.3099694,109.8387628,117.9645448,66.64239568,227.3496397,72.4710309,89.65301292,68.42857725,67.93162164,91.6734875,687.6311193,195.0276539,87.51420525,669.4849358,97.3844257,136.765373,423.6891189,87.63355386,115.8469409
9/4/2020,57.92419027,84.75076045,96.99437597,93.37714317,115.3102483,53.5382444,237.511176,74.87004859,94.60766563,71.4240661,59.76372146,92.76026344,628.6079798,177.2412677,97.2560329,893.5031099,79.93118256,134.9005131,366.4557003,76.23325861,92.69457554
10/4/2020,72.94007275,82.70748371,102.1948496,93.45153215,113.9673048,50.89968201,223.0651369,79.47662829,90.86790157,69.87981701,57.56735136,89.56479239,656.91616,174.2845223,93.05875207,700.0025105,77.98750056,136.6924483,308.1090123,70.97168724,86.90692813
11/4/2020,90.55513274,83.71367231,104.298287,95.69779142,118.1241956,35.33829321,183.4487268,79.35362444,95.82736042,69.93657278,65.62451714,88.42311862,615.7523382,171.7505493,95.21756598,828.1486113,91.6818568,140.3472842,381.8328307,62.20854291,83.31360317
12/4/2020,67.99013343,89.22470499,103.2746693,102.6480273,116.9350169,54.2973023,190.4171698,86.25702506,97.9902096,74.40534014,70.85159346,90.48848932,559.8396246,171.8335521,106.9500923,691.3961309,78.06163488,135.6100224,359.8989091,60.46373105,86.94113787
13/4/2020,95.92128758,87.23737224,105.1642903,107.0178312,108.3718806,51.60848287,176.3097219,79.06809909,99.2195692,73.08632126,61.01070288,95.78222356,544.8743538,180.4700353,100.5128376,760.3000132,90.7590394,134.6742573,382.8858583,76.22359943,97.83655424
14/4/2020,71.90842609,86.13693723,102.207462,90.62862806,102.6402614,80.23319845,172.3677377,72.42722782,95.56711929,80.28543316,76.0433073,91.40614512,560.0530271,166.8591926,89.12474319,856.4701532,68.3791373,125.5633934,389.4996868,83.21404611,97.83472534
15/4/2020,74.51822699,84.84942916,101.5072499,91.71138003,108.9522377,75.09630344,165.1940941,75.01335923,95.55082108,69.22813574,78.39092268,93.48437739,589.2378062,160.8554998,90.87146921,719.6890932,81.09078903,119.4415976,331.8861013,84.08445151,87.77592694
16/4/2020,79.76644706,87.13235292,106.5625221,96.62352144,107.0472977,60.17576264,158.3790337,71.34141301,102.2794915,74.00344195,71.55226597,95.76694383,603.9402358,157.3946366,92.02728297,758.4676474,78.90818689,117.6221114,309.9869785,84.95437257,97.35340477
17/4/2020,87.76101588,87.17169347,96.96431025,92.23973709,104.3926492,73.66633584,147.5871436,71.40915174,93.56722581,71.68751353,65.26932852,92.62007737,632.4535504,156.9479842,85.63092567,750.1940889,82.76119643,117.7719623,309.7776868,80.5978111,92.33481569
18/4/2020,76.52435178,102.8451288,101.9908242,101.0277527,113.3122485,74.97465978,174.5906358,79.32550921,97.30379729,64.98852975,64.96685569,91.14533558,562.6575961,147.9420461,94.10142792,792.9307813,86.95809748,127.2687217,368.8564922,68.31330379,84.54817259
19/4/2020,65.92611694,92.88836164,106.6234481,98.17534331,114.8412344,67.0155573,175.4353894,91.20409085,99.34249823,79.23411417,71.5281268,95.51977892,575.0697552,159.3677448,95.3650053,693.9178822,90.67268749,125.2739412,314.8531,73.53412107,111.7168263
